subsample,model,N,RMSE,MAE,QLIKE
overall,M9c,376,0.33869518369368057,0.21333944400995403,0.33378784032911507
overall,M9,376,0.3427970585918742,0.21362111063335673,0.3388218389077869
overall,M3,376,0.3288038793856876,0.2108206253980182,0.3416480589319425
overall,M1,376,0.368404873149969,0.22595645022619645,0.3903617871365767
crisis,M9c,38,0.8496669939846928,0.6325255056277904,1.1469015989031612
crisis,M9,38,0.8692814917342834,0.639844820239285,1.1590916882297122
crisis,M3,38,0.8098570666944341,0.5968214950122787,1.0791397571165633
crisis,M1,38,0.9447192827856585,0.6553733878836558,1.491307435073165
calm,M9c,338,0.2155159812207259,0.1662120169641618,0.24237268403972526
calm,M9,338,0.2139304049547496,0.16570246872499797,0.24660215170591362
calm,M3,338,0.21570790881802776,0.16742407792659245,0.2587347910887012
calm,M1,338,0.22503607026229436,0.17767880634754724,0.26658683263483
